,zona,area_quartos,enderecos_lista,aluguel
20,centro,32 m² construídos1 quarto,"Avenida Gomes Freire, Centro, Rio De Janeiro Centro, Rio De Janeiro",2.750
21,centro,597 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",23.880
22,centro,270 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",13.000
23,centro,340 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",13.000
24,centro,483 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",19.356
25,centro,379 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",8.500
26,centro,385 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",8.000
27,centro,760 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",17.000
28,centro,800 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",30.000
29,centro,603 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",60.300
30,centro,727 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",50.000
31,centro,576 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",28.845
32,centro,760 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",91.236
33,centro,379 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",8.500
34,centro,562 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",35.000
35,centro,600 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",23.880
36,centro,540 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",15.000
37,centro,369 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",7.000
38,centro,780 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",39.000
39,centro,219 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",8.760
40,centro,480 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",10.000
41,centro,"1,040 m² construídos","Centro, Rio De Janeiro Centro, Rio De Janeiro",60.000
42,centro,300 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",12.000
43,centro,800 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",25.000
44,centro,300 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",11.000
45,centro,162 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",3.000
46,centro,162 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",5.000
47,centro,245 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",25.000
0,centro,75 m² construídos3 quartos,"Rua Afonso Cavalcanti, Cidade Nova, Rio De Janeiro Centro, Rio De Janeiro",2.000
1,centro,35 m² construídos,"Avenida Nossa Senhora De Fatima, Centro, Rio De Janeiro Centro, Rio De Janeiro",900
2,centro,42 m² construídos2 quartos,"Rua Marquês Pombal, Centro, Rio De Janeiro Centro, Rio De Janeiro",950
3,centro,90 m² construídos2 quartos,"Rua Do Resende, Centro, Rio De Janeiro Centro, Rio De Janeiro",2.450
4,centro,35 m² construídos1 quarto,"Rua Da Relação, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.780
5,centro,50 m² construídos1 quarto,"R. Do Senado, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.208
6,centro,53 m² construídos1 quarto,"Rua Tenente Possolo, 1, Centro, Rio De Janeiro Centro, Rio De Janeiro",950
7,centro,35 m² construídos1 quarto,"Rua Evaristo Da Veiga, Centro, Rio De Janeiro Centro, Rio De Janeiro",680
8,centro,30 m² construídos1 quarto,"Rua Carlos Sampaio, Centro, Rio De Janeiro Centro, Rio De Janeiro",850
9,centro,35 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",1.000
10,centro,60 m² construídos2 quartos,"Rua Riachuelo, Centro, Rio De Janeiro Centro, Rio De Janeiro",2.500
11,centro,35 m² construídos,"Praça Olavo Bilac, Centro, Rio De Janeiro Centro, Rio De Janeiro",600
12,centro,600 m² construídos,"Santo Cristo, Rio De Janeiro Centro, Rio De Janeiro",35.000
13,centro,527 m² construídos,"Rua  Lavradio, Centro, Rio De Janeiro Centro, Rio De Janeiro",19.500
14,centro,36 m² construídos1 quarto,"Avenida Gomes Freire, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.900
15,centro,32 m² construídos1 quarto,"Avenida Gomes Freire, Centro, Rio De Janeiro Centro, Rio De Janeiro",2.250
16,centro,217 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",6.000
17,centro,32 m² construídos1 quarto,"Avenida Gomes Freire, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.900
18,centro,100 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",2.900
19,centro,468 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",6.000
20,centro,32 m² construídos1 quarto,"Avenida Gomes Freire, Centro, Rio De Janeiro Centro, Rio De Janeiro",2.750
21,centro,597 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",23.880
22,centro,270 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",13.000
23,centro,340 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",13.000
24,centro,483 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",19.356
25,centro,379 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",8.500
26,centro,385 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",8.000
27,centro,760 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",17.000
28,centro,800 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",30.000
29,centro,603 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",60.300
30,centro,727 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",50.000
31,centro,576 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",28.845
32,centro,760 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",91.236
33,centro,379 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",8.500
34,centro,562 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",35.000
35,centro,600 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",23.880
36,centro,540 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",15.000
37,centro,369 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",7.000
38,centro,780 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",39.000
