zona,enderecos_lista,latitude,longitude,area,quartos,aluguel
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,483.0,,19356
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,379.0,,8500
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,385.0,,8000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,760.0,,17000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,800.0,,30000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,603.0,,60300
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,727.0,,50000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,576.0,,28845
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,760.0,,91236
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,379.0,,8500
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,562.0,,35000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,600.0,,23880
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,540.0,,15000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,369.0,,7000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,780.0,,39000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,219.0,,8760
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,480.0,,10000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,1040.0,,60000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,300.0,,12000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,800.0,,25000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,300.0,,11000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,162.0,,3000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,162.0,,5000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,245.0,,25000
centro,"Rua Afonso Cavalcanti, Cidade Nova, Rio de Janeiro, RJ",-22.90982,-43.20223,75.0,3.0,2000
centro,"Avenida Nossa Senhora De Fatima, Centro, Rio de Janeiro, RJ",-22.97535,-43.69896,35.0,,900
