zona,area_quartos,enderecos_lista,aluguel
centro,30 m² construídos1 quarto,"Rua Acre, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.040
centro,39 m² construídos1 quarto,"Rua Alcântara Machado, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.500
centro,40 m² construídos1 quarto,"Rua Da Relação, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.670
centro,77 m² construídos2 quartos,"Rua De Santana, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.790
centro,34 m² construídos1 quarto,"Rua Evaristo Da Veiga, Centro, Rio De Janeiro Centro, Rio De Janeiro",850
centro,40 m² construídos1 quarto,"Rua André Cavalcanti, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.300
centro,86 m² construídos2 quartos,"Avenida Presidente Antônio Carlos, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.700
centro,28 m² construídos1 quarto,"Rua Guilherme Marconi, Centro, Rio De Janeiro Centro, Rio De Janeiro",850
centro,40 m² construídos1 quarto,"Rua Guilherme Marconi, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.560
centro,75 m² construídos3 quartos,"Rua Afonso Cavalcanti, Cidade Nova, Rio De Janeiro Centro, Rio De Janeiro",1.780
centro,30 m² construídos1 quarto,"Rua Das Marrecas, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.450
centro,30 m² construídos1 quarto,"Rua Das Marrecas, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.250
centro,75 m² construídos2 quartos,"Rua Riachuelo, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.700
centro,51 m² construídos2 quartos,"Rua Leandro Martins, Centro, Rio De Janeiro Centro, Rio De Janeiro",2.285
centro,40 m² construídos1 quarto,"Rua Riachuelo, Centro, Rio De Janeiro Centro, Rio De Janeiro",2.000
centro,50 m² construídos1 quarto,"Rua De Santana, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.460
centro,42 m² construídos1 quarto,"Rua Da Relação, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.720
centro,70 m² construídos2 quartos,"Rua Riachuelo, Centro, Rio De Janeiro Centro, Rio De Janeiro",2.200
centro,70 m² construídos2 quartos,"Rua Riachuelo, Centro, Rio De Janeiro Centro, Rio De Janeiro",2.500
centro,44 m² construídos1 quarto,"Rua Do Resende, Centro, Rio De Janeiro Centro, Rio De Janeiro",2.610
